exception_id,rule_id,record_id,sensor_id,parameter,unit,station_group,event_date,value_num,failure_reason,severity
EX000034,DQ006,3034,12234784,no2,ppb,current_2025,2025-02-19 04:45:00+00:00,40.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000035,DQ006,3035,12234784,no2,ppb,current_2025,2025-02-19 05:00:00+00:00,34.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000036,DQ006,3036,12234784,no2,ppb,current_2025,2025-02-19 05:15:00+00:00,31.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000037,DQ006,3037,12234784,no2,ppb,current_2025,2025-02-19 05:30:00+00:00,28.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000038,DQ006,3038,12234784,no2,ppb,current_2025,2025-02-19 05:45:00+00:00,32.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000039,DQ006,3039,12234784,no2,ppb,current_2025,2025-02-19 06:00:00+00:00,29.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000040,DQ006,3040,12234784,no2,ppb,current_2025,2025-02-19 06:15:00+00:00,26.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000041,DQ006,3041,12234784,no2,ppb,current_2025,2025-02-19 06:30:00+00:00,23.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000042,DQ006,3042,12234784,no2,ppb,current_2025,2025-02-19 06:45:00+00:00,22.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000043,DQ006,3043,12234784,no2,ppb,current_2025,2025-02-19 07:00:00+00:00,23,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000044,DQ006,3044,12234784,no2,ppb,current_2025,2025-02-19 07:15:00+00:00,21.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000045,DQ006,3045,12234784,no2,ppb,current_2025,2025-02-19 07:30:00+00:00,22,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000046,DQ006,3046,12234784,no2,ppb,current_2025,2025-02-19 07:45:00+00:00,24.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000047,DQ006,3047,12234784,no2,ppb,current_2025,2025-02-19 08:00:00+00:00,23.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000048,DQ006,3048,12234784,no2,ppb,current_2025,2025-02-19 08:15:00+00:00,22.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000049,DQ006,3049,12234784,no2,ppb,current_2025,2025-02-19 08:30:00+00:00,24.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000050,DQ006,3050,12234784,no2,ppb,current_2025,2025-02-19 08:45:00+00:00,25.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000051,DQ006,3051,12234784,no2,ppb,current_2025,2025-02-19 09:00:00+00:00,18.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000052,DQ006,3052,12234784,no2,ppb,current_2025,2025-02-19 09:15:00+00:00,26.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000053,DQ006,3053,12234784,no2,ppb,current_2025,2025-02-19 09:30:00+00:00,26.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000054,DQ006,3054,12234784,no2,ppb,current_2025,2025-02-19 09:45:00+00:00,27.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000055,DQ006,3055,12234784,no2,ppb,current_2025,2025-02-19 10:00:00+00:00,26.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000056,DQ006,3056,12234784,no2,ppb,current_2025,2025-02-19 10:15:00+00:00,24.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000057,DQ006,3057,12234784,no2,ppb,current_2025,2025-02-19 10:30:00+00:00,21.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000058,DQ006,3058,12234784,no2,ppb,current_2025,2025-02-19 10:45:00+00:00,20.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000059,DQ006,3059,12234784,no2,ppb,current_2025,2025-02-19 11:00:00+00:00,20.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000060,DQ006,3060,12234784,no2,ppb,current_2025,2025-02-19 11:15:00+00:00,18.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000061,DQ006,3061,12234784,no2,ppb,current_2025,2025-02-19 11:30:00+00:00,31.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000062,DQ006,3062,12234784,no2,ppb,current_2025,2025-02-19 11:45:00+00:00,30.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000063,DQ006,3063,12234784,no2,ppb,current_2025,2025-02-19 12:00:00+00:00,53.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000064,DQ006,3064,12234784,no2,ppb,current_2025,2025-02-19 12:15:00+00:00,58.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000065,DQ006,3065,12234784,no2,ppb,current_2025,2025-02-19 12:45:00+00:00,78.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000066,DQ006,3066,12234784,no2,ppb,current_2025,2025-02-19 13:00:00+00:00,82.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000067,DQ006,3067,12234784,no2,ppb,current_2025,2025-02-19 13:15:00+00:00,88.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000068,DQ006,3068,12234784,no2,ppb,current_2025,2025-02-19 13:30:00+00:00,90.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000069,DQ006,3069,12234784,no2,ppb,current_2025,2025-02-19 13:45:00+00:00,96.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000070,DQ006,3070,12234784,no2,ppb,current_2025,2025-02-19 14:00:00+00:00,92.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000071,DQ006,3071,12234784,no2,ppb,current_2025,2025-02-19 14:15:00+00:00,89.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000072,DQ006,3072,12234784,no2,ppb,current_2025,2025-02-19 14:30:00+00:00,93.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000073,DQ006,3073,12234784,no2,ppb,current_2025,2025-02-19 14:45:00+00:00,86.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000074,DQ006,3074,12234784,no2,ppb,current_2025,2025-02-19 15:00:00+00:00,77,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000075,DQ006,3075,12234784,no2,ppb,current_2025,2025-02-19 15:15:00+00:00,84.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000076,DQ006,3076,12234784,no2,ppb,current_2025,2025-02-19 15:30:00+00:00,78.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000077,DQ006,3077,12234784,no2,ppb,current_2025,2025-02-19 15:45:00+00:00,83.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000078,DQ006,3078,12234784,no2,ppb,current_2025,2025-02-19 16:00:00+00:00,78.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000079,DQ006,3079,12234784,no2,ppb,current_2025,2025-02-19 16:15:00+00:00,70,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000080,DQ006,3080,12234784,no2,ppb,current_2025,2025-02-19 16:30:00+00:00,67.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000081,DQ006,3081,12234784,no2,ppb,current_2025,2025-02-19 16:45:00+00:00,66.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000082,DQ006,3082,12234784,no2,ppb,current_2025,2025-02-19 17:00:00+00:00,71.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000083,DQ006,3083,12234784,no2,ppb,current_2025,2025-02-19 17:15:00+00:00,63.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000084,DQ006,3084,12234784,no2,ppb,current_2025,2025-02-19 17:30:00+00:00,76.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000085,DQ006,3085,12234784,no2,ppb,current_2025,2025-02-19 17:45:00+00:00,67.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000086,DQ006,3086,12234784,no2,ppb,current_2025,2025-02-19 18:00:00+00:00,59.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000087,DQ006,3087,12234784,no2,ppb,current_2025,2025-02-19 19:00:00+00:00,65.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000088,DQ006,3088,12234784,no2,ppb,current_2025,2025-02-19 19:15:00+00:00,61,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000089,DQ006,3089,12234784,no2,ppb,current_2025,2025-02-19 19:30:00+00:00,59.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000090,DQ006,3090,12234784,no2,ppb,current_2025,2025-02-19 19:45:00+00:00,53.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000091,DQ006,3091,12234784,no2,ppb,current_2025,2025-02-19 20:00:00+00:00,66.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000092,DQ006,3092,12234784,no2,ppb,current_2025,2025-02-19 20:15:00+00:00,61.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
